ANSS,Date
2.96875,1996-06-20 00:00:00-04:00
3.0,1996-06-21 00:00:00-04:00
3.21875,1996-06-24 00:00:00-04:00
3.15625,1996-06-25 00:00:00-04:00
3.15625,1996-06-26 00:00:00-04:00
3.25,1996-06-27 00:00:00-04:00
3.28125,1996-06-28 00:00:00-04:00
3.21875,1996-07-01 00:00:00-04:00
3.25,1996-07-02 00:00:00-04:00
3.40625,1996-07-03 00:00:00-04:00
3.25,1996-07-05 00:00:00-04:00
3.28125,1996-07-08 00:00:00-04:00
3.265625,1996-07-09 00:00:00-04:00
3.28125,1996-07-10 00:00:00-04:00
3.125,1996-07-11 00:00:00-04:00
3.09375,1996-07-12 00:00:00-04:00
2.96875,1996-07-15 00:00:00-04:00
2.71875,1996-07-16 00:00:00-04:00
3.03125,1996-07-17 00:00:00-04:00
3.1875,1996-07-18 00:00:00-04:00
3.21875,1996-07-19 00:00:00-04:00
3.1875,1996-07-22 00:00:00-04:00
3.09375,1996-07-23 00:00:00-04:00
3.125,1996-07-24 00:00:00-04:00
3.09375,1996-07-25 00:00:00-04:00
3.09375,1996-07-26 00:00:00-04:00
3.0625,1996-07-29 00:00:00-04:00
2.9375,1996-07-30 00:00:00-04:00
2.90625,1996-07-31 00:00:00-04:00
2.90625,1996-08-01 00:00:00-04:00
3.125,1996-08-02 00:00:00-04:00
3.125,1996-08-05 00:00:00-04:00
3.1875,1996-08-06 00:00:00-04:00
3.21875,1996-08-07 00:00:00-04:00
3.3125,1996-08-08 00:00:00-04:00
3.34375,1996-08-09 00:00:00-04:00
3.375,1996-08-12 00:00:00-04:00
3.34375,1996-08-13 00:00:00-04:00
3.28125,1996-08-14 00:00:00-04:00
3.28125,1996-08-15 00:00:00-04:00
3.234375,1996-08-16 00:00:00-04:00
3.09375,1996-08-19 00:00:00-04:00
3.03125,1996-08-20 00:00:00-04:00
2.875,1996-08-21 00:00:00-04:00
2.84375,1996-08-22 00:00:00-04:00
2.78125,1996-08-23 00:00:00-04:00
2.71875,1996-08-26 00:00:00-04:00
2.75,1996-08-27 00:00:00-04:00
2.8125,1996-08-28 00:00:00-04:00
2.8125,1996-08-29 00:00:00-04:00
2.84375,1996-08-30 00:00:00-04:00
2.75,1996-09-03 00:00:00-04:00
2.8125,1996-09-04 00:00:00-04:00
2.78125,1996-09-05 00:00:00-04:00
2.6875,1996-09-06 00:00:00-04:00
2.75,1996-09-09 00:00:00-04:00
