CHTR,Date
35.0,2010-01-05 00:00:00-05:00
35.0,2010-01-06 00:00:00-05:00
35.0,2010-01-07 00:00:00-05:00
33.5,2010-01-08 00:00:00-05:00
33.5,2010-01-11 00:00:00-05:00
33.5,2010-01-12 00:00:00-05:00
32.75,2010-01-13 00:00:00-05:00
32.75,2010-01-14 00:00:00-05:00
32.25,2010-01-15 00:00:00-05:00
32.0,2010-01-19 00:00:00-05:00
31.75,2010-01-20 00:00:00-05:00
31.600000381469727,2010-01-21 00:00:00-05:00
31.5,2010-01-22 00:00:00-05:00
31.25,2010-01-25 00:00:00-05:00
30.75,2010-01-26 00:00:00-05:00
30.75,2010-01-27 00:00:00-05:00
30.75,2010-01-28 00:00:00-05:00
30.6299991607666,2010-01-29 00:00:00-05:00
30.5,2010-02-01 00:00:00-05:00
30.5,2010-02-02 00:00:00-05:00
29.75,2010-02-03 00:00:00-05:00
30.25,2010-02-04 00:00:00-05:00
30.5,2010-02-05 00:00:00-05:00
29.850000381469727,2010-02-08 00:00:00-05:00
29.799999237060547,2010-02-09 00:00:00-05:00
29.75,2010-02-10 00:00:00-05:00
29.739999771118164,2010-02-11 00:00:00-05:00
29.739999771118164,2010-02-12 00:00:00-05:00
29.739999771118164,2010-02-16 00:00:00-05:00
29.739999771118164,2010-02-17 00:00:00-05:00
29.700000762939453,2010-02-18 00:00:00-05:00
29.700000762939453,2010-02-19 00:00:00-05:00
29.700000762939453,2010-02-22 00:00:00-05:00
29.700000762939453,2010-02-23 00:00:00-05:00
29.700000762939453,2010-02-24 00:00:00-05:00
29.5,2010-02-25 00:00:00-05:00
29.75,2010-02-26 00:00:00-05:00
30.100000381469727,2010-03-01 00:00:00-05:00
30.399999618530273,2010-03-02 00:00:00-05:00
30.75,2010-03-03 00:00:00-05:00
31.020000457763672,2010-03-04 00:00:00-05:00
31.75,2010-03-05 00:00:00-05:00
31.75,2010-03-08 00:00:00-05:00
32.75,2010-03-09 00:00:00-05:00
33.0,2010-03-10 00:00:00-05:00
32.5,2010-03-11 00:00:00-05:00
32.5,2010-03-12 00:00:00-05:00
33.0,2010-03-15 00:00:00-04:00
32.75,2010-03-16 00:00:00-04:00
34.0,2010-03-17 00:00:00-04:00
34.75,2010-03-18 00:00:00-04:00
34.75,2010-03-19 00:00:00-04:00
34.43000030517578,2010-03-22 00:00:00-04:00
35.0,2010-03-23 00:00:00-04:00
35.0,2010-03-24 00:00:00-04:00
34.5,2010-03-25 00:00:00-04:00
34.75,2010-03-26 00:00:00-04:00
34.5,2010-03-29 00:00:00-04:00
34.45000076293945,2010-03-30 00:00:00-04:00
34.5,2010-03-31 00:00:00-04:00
35.0,2010-04-01 00:00:00-04:00
35.0,2010-04-05 00:00:00-04:00
34.54999923706055,2010-04-06 00:00:00-04:00
34.54999923706055,2010-04-07 00:00:00-04:00
34.54999923706055,2010-04-08 00:00:00-04:00
34.70000076293945,2010-04-09 00:00:00-04:00
35.0,2010-04-12 00:00:00-04:00
35.0,2010-04-13 00:00:00-04:00
35.25,2010-04-14 00:00:00-04:00
36.0,2010-04-15 00:00:00-04:00
36.099998474121094,2010-04-16 00:00:00-04:00
36.0099983215332,2010-04-19 00:00:00-04:00
36.0099983215332,2010-04-20 00:00:00-04:00
35.5099983215332,2010-04-21 00:00:00-04:00
36.0,2010-04-22 00:00:00-04:00
36.25,2010-04-23 00:00:00-04:00
36.5,2010-04-26 00:00:00-04:00
36.5,2010-04-27 00:00:00-04:00
36.5,2010-04-28 00:00:00-04:00
37.25,2010-04-29 00:00:00-04:00
37.900001525878906,2010-04-30 00:00:00-04:00
39.5,2010-05-03 00:00:00-04:00
39.75,2010-05-04 00:00:00-04:00
39.5,2010-05-05 00:00:00-04:00
38.349998474121094,2010-05-06 00:00:00-04:00
37.849998474121094,2010-05-07 00:00:00-04:00
37.75,2010-05-10 00:00:00-04:00
38.0,2010-05-11 00:00:00-04:00
38.0,2010-05-12 00:00:00-04:00
38.0,2010-05-13 00:00:00-04:00
37.599998474121094,2010-05-14 00:00:00-04:00
38.0,2010-05-17 00:00:00-04:00
37.25,2010-05-18 00:00:00-04:00
38.20000076293945,2010-05-19 00:00:00-04:00
37.0,2010-05-20 00:00:00-04:00
36.75,2010-05-21 00:00:00-04:00
36.29999923706055,2010-05-24 00:00:00-04:00
36.0,2010-05-25 00:00:00-04:00
36.0,2010-05-26 00:00:00-04:00
36.0,2010-05-27 00:00:00-04:00
36.0,2010-05-28 00:00:00-04:00
35.880001068115234,2010-06-01 00:00:00-04:00
35.0,2010-06-02 00:00:00-04:00
35.0,2010-06-03 00:00:00-04:00
35.0,2010-06-04 00:00:00-04:00
33.75,2010-06-07 00:00:00-04:00
34.5,2010-06-08 00:00:00-04:00
34.52000045776367,2010-06-09 00:00:00-04:00
34.52000045776367,2010-06-10 00:00:00-04:00
34.5,2010-06-11 00:00:00-04:00
34.099998474121094,2010-06-14 00:00:00-04:00
34.5,2010-06-15 00:00:00-04:00
34.70000076293945,2010-06-16 00:00:00-04:00
34.75,2010-06-17 00:00:00-04:00
35.25,2010-06-18 00:00:00-04:00
35.25,2010-06-21 00:00:00-04:00
35.5,2010-06-22 00:00:00-04:00
35.650001525878906,2010-06-23 00:00:00-04:00
35.599998474121094,2010-06-24 00:00:00-04:00
35.599998474121094,2010-06-25 00:00:00-04:00
35.349998474121094,2010-06-28 00:00:00-04:00
35.5,2010-06-29 00:00:00-04:00
35.29999923706055,2010-06-30 00:00:00-04:00
35.5,2010-07-01 00:00:00-04:00
35.5,2010-07-02 00:00:00-04:00
36.5,2010-07-06 00:00:00-04:00
36.5,2010-07-07 00:00:00-04:00
36.0,2010-07-08 00:00:00-04:00
36.20000076293945,2010-07-09 00:00:00-04:00
36.25,2010-07-12 00:00:00-04:00
36.04999923706055,2010-07-13 00:00:00-04:00
35.54999923706055,2010-07-14 00:00:00-04:00
35.45000076293945,2010-07-15 00:00:00-04:00
35.400001525878906,2010-07-16 00:00:00-04:00
35.0,2010-07-19 00:00:00-04:00
35.5,2010-07-20 00:00:00-04:00
35.25,2010-07-21 00:00:00-04:00
35.04999923706055,2010-07-22 00:00:00-04:00
35.0,2010-07-23 00:00:00-04:00
35.0,2010-07-26 00:00:00-04:00
35.5,2010-07-27 00:00:00-04:00
35.5,2010-07-28 00:00:00-04:00
36.25,2010-07-29 00:00:00-04:00
36.5,2010-07-30 00:00:00-04:00
36.5,2010-08-02 00:00:00-04:00
36.25,2010-08-03 00:00:00-04:00
36.5,2010-08-04 00:00:00-04:00
36.25,2010-08-05 00:00:00-04:00
36.25,2010-08-06 00:00:00-04:00
36.150001525878906,2010-08-09 00:00:00-04:00
36.20000076293945,2010-08-10 00:00:00-04:00
36.20000076293945,2010-08-11 00:00:00-04:00
36.20000076293945,2010-08-12 00:00:00-04:00
36.150001525878906,2010-08-13 00:00:00-04:00
35.54999923706055,2010-08-16 00:00:00-04:00
35.04999923706055,2010-08-17 00:00:00-04:00
35.04999923706055,2010-08-18 00:00:00-04:00
35.099998474121094,2010-08-19 00:00:00-04:00
35.0,2010-08-20 00:00:00-04:00
35.0,2010-08-23 00:00:00-04:00
34.75,2010-08-24 00:00:00-04:00
34.5,2010-08-25 00:00:00-04:00
34.25,2010-08-26 00:00:00-04:00
33.75,2010-08-27 00:00:00-04:00
