ILMN,Date
19.5859375,2000-07-28 00:00:00-04:00
17.5,2000-07-31 00:00:00-04:00
17.75,2000-08-01 00:00:00-04:00
19.0625,2000-08-02 00:00:00-04:00
22.125,2000-08-03 00:00:00-04:00
20.46875,2000-08-04 00:00:00-04:00
21.125,2000-08-07 00:00:00-04:00
20.4921875,2000-08-08 00:00:00-04:00
21.40625,2000-08-09 00:00:00-04:00
22.5,2000-08-10 00:00:00-04:00
20.9375,2000-08-11 00:00:00-04:00
20.0,2000-08-14 00:00:00-04:00
20.0,2000-08-15 00:00:00-04:00
21.3125,2000-08-16 00:00:00-04:00
20.9375,2000-08-17 00:00:00-04:00
22.0,2000-08-18 00:00:00-04:00
22.59375,2000-08-21 00:00:00-04:00
21.0625,2000-08-22 00:00:00-04:00
20.5625,2000-08-23 00:00:00-04:00
20.0078125,2000-08-24 00:00:00-04:00
20.875,2000-08-25 00:00:00-04:00
20.8125,2000-08-28 00:00:00-04:00
21.25,2000-08-29 00:00:00-04:00
20.0,2000-08-30 00:00:00-04:00
22.375,2000-08-31 00:00:00-04:00
23.3125,2000-09-01 00:00:00-04:00
22.875,2000-09-05 00:00:00-04:00
21.0,2000-09-06 00:00:00-04:00
22.5,2000-09-07 00:00:00-04:00
21.46875,2000-09-08 00:00:00-04:00
20.5625,2000-09-11 00:00:00-04:00
20.375,2000-09-12 00:00:00-04:00
18.25,2000-09-13 00:00:00-04:00
18.5,2000-09-14 00:00:00-04:00
18.875,2000-09-15 00:00:00-04:00
17.0,2000-09-18 00:00:00-04:00
16.65625,2000-09-19 00:00:00-04:00
17.0,2000-09-20 00:00:00-04:00
17.6875,2000-09-21 00:00:00-04:00
19.625,2000-09-22 00:00:00-04:00
19.9375,2000-09-25 00:00:00-04:00
19.90625,2000-09-26 00:00:00-04:00
20.8125,2000-09-27 00:00:00-04:00
21.875,2000-09-28 00:00:00-04:00
22.6875,2000-09-29 00:00:00-04:00
22.875,2000-10-02 00:00:00-04:00
20.0,2000-10-03 00:00:00-04:00
18.0625,2000-10-04 00:00:00-04:00
17.8125,2000-10-05 00:00:00-04:00
15.03125,2000-10-06 00:00:00-04:00
15.375,2000-10-09 00:00:00-04:00
16.25,2000-10-10 00:00:00-04:00
16.0,2000-10-11 00:00:00-04:00
16.125,2000-10-12 00:00:00-04:00
17.5625,2000-10-13 00:00:00-04:00
17.75,2000-10-16 00:00:00-04:00
18.09375,2000-10-17 00:00:00-04:00
17.375,2000-10-18 00:00:00-04:00
17.3125,2000-10-19 00:00:00-04:00
16.5,2000-10-20 00:00:00-04:00
17.0,2000-10-23 00:00:00-04:00
17.0625,2000-10-24 00:00:00-04:00
18.0,2000-10-25 00:00:00-04:00
19.375,2000-10-26 00:00:00-04:00
18.25,2000-10-27 00:00:00-04:00
16.25,2000-10-30 00:00:00-05:00
16.25,2000-10-31 00:00:00-05:00
16.78125,2000-11-01 00:00:00-05:00
17.8125,2000-11-02 00:00:00-05:00
18.25,2000-11-03 00:00:00-05:00
20.3125,2000-11-06 00:00:00-05:00
20.5,2000-11-07 00:00:00-05:00
20.3125,2000-11-08 00:00:00-05:00
19.4375,2000-11-09 00:00:00-05:00
19.0,2000-11-10 00:00:00-05:00
18.5,2000-11-13 00:00:00-05:00
16.96875,2000-11-14 00:00:00-05:00
15.875,2000-11-15 00:00:00-05:00
12.6875,2000-11-16 00:00:00-05:00
11.4375,2000-11-17 00:00:00-05:00
10.6875,2000-11-20 00:00:00-05:00
10.65625,2000-11-21 00:00:00-05:00
8.0,2000-11-22 00:00:00-05:00
9.75,2000-11-24 00:00:00-05:00
9.59375,2000-11-27 00:00:00-05:00
8.875,2000-11-28 00:00:00-05:00
9.03125,2000-11-29 00:00:00-05:00
9.15625,2000-11-30 00:00:00-05:00
9.625,2000-12-01 00:00:00-05:00
9.8125,2000-12-04 00:00:00-05:00
12.0625,2000-12-05 00:00:00-05:00
11.6875,2000-12-06 00:00:00-05:00
11.625,2000-12-07 00:00:00-05:00
11.375,2000-12-08 00:00:00-05:00
10.5,2000-12-11 00:00:00-05:00
10.9375,2000-12-12 00:00:00-05:00
11.28125,2000-12-13 00:00:00-05:00
10.8125,2000-12-14 00:00:00-05:00
11.5,2000-12-15 00:00:00-05:00
11.8125,2000-12-18 00:00:00-05:00
10.875,2000-12-19 00:00:00-05:00
8.9375,2000-12-20 00:00:00-05:00
9.0,2000-12-21 00:00:00-05:00
9.5,2000-12-22 00:00:00-05:00
8.9375,2000-12-26 00:00:00-05:00
8.75,2000-12-27 00:00:00-05:00
8.5,2000-12-28 00:00:00-05:00
8.03125,2000-12-29 00:00:00-05:00
7.625,2001-01-02 00:00:00-05:00
6.90625,2001-01-03 00:00:00-05:00
7.0625,2001-01-04 00:00:00-05:00
5.96875,2001-01-05 00:00:00-05:00
4.4375,2001-01-08 00:00:00-05:00
4.3125,2001-01-09 00:00:00-05:00
5.25,2001-01-10 00:00:00-05:00
6.6875,2001-01-11 00:00:00-05:00
6.5,2001-01-12 00:00:00-05:00
6.75,2001-01-16 00:00:00-05:00
7.53125,2001-01-17 00:00:00-05:00
7.3125,2001-01-18 00:00:00-05:00
7.5,2001-01-19 00:00:00-05:00
7.21875,2001-01-22 00:00:00-05:00
8.625,2001-01-23 00:00:00-05:00
9.34375,2001-01-24 00:00:00-05:00
9.375,2001-01-25 00:00:00-05:00
10.03125,2001-01-26 00:00:00-05:00
10.875,2001-01-29 00:00:00-05:00
10.65625,2001-01-30 00:00:00-05:00
10.5,2001-01-31 00:00:00-05:00
10.21875,2001-02-01 00:00:00-05:00
9.125,2001-02-02 00:00:00-05:00
8.125,2001-02-05 00:00:00-05:00
8.0,2001-02-06 00:00:00-05:00
8.15625,2001-02-07 00:00:00-05:00
8.15625,2001-02-08 00:00:00-05:00
8.15625,2001-02-09 00:00:00-05:00
8.1875,2001-02-12 00:00:00-05:00
8.125,2001-02-13 00:00:00-05:00
8.1875,2001-02-14 00:00:00-05:00
8.0,2001-02-15 00:00:00-05:00
8.40625,2001-02-16 00:00:00-05:00
8.0,2001-02-20 00:00:00-05:00
8.28125,2001-02-21 00:00:00-05:00
7.90625,2001-02-22 00:00:00-05:00
7.6875,2001-02-23 00:00:00-05:00
7.8125,2001-02-26 00:00:00-05:00
7.875,2001-02-27 00:00:00-05:00
7.5,2001-02-28 00:00:00-05:00
7.25,2001-03-01 00:00:00-05:00
6.1875,2001-03-02 00:00:00-05:00
6.53125,2001-03-05 00:00:00-05:00
6.1875,2001-03-06 00:00:00-05:00
5.5,2001-03-07 00:00:00-05:00
5.625,2001-03-08 00:00:00-05:00
