ORLY,Date
2.40625,1993-04-23 00:00:00-04:00
2.34375,1993-04-26 00:00:00-04:00
2.3125,1993-04-27 00:00:00-04:00
2.28125,1993-04-28 00:00:00-04:00
2.3125,1993-04-29 00:00:00-04:00
2.34375,1993-04-30 00:00:00-04:00
2.34375,1993-05-03 00:00:00-04:00
2.375,1993-05-04 00:00:00-04:00
2.4375,1993-05-05 00:00:00-04:00
2.453125,1993-05-06 00:00:00-04:00
2.40625,1993-05-07 00:00:00-04:00
2.4375,1993-05-10 00:00:00-04:00
2.46875,1993-05-11 00:00:00-04:00
2.53125,1993-05-12 00:00:00-04:00
2.59375,1993-05-13 00:00:00-04:00
2.734375,1993-05-14 00:00:00-04:00
2.6875,1993-05-17 00:00:00-04:00
2.65625,1993-05-18 00:00:00-04:00
2.609375,1993-05-19 00:00:00-04:00
2.5625,1993-05-20 00:00:00-04:00
2.59375,1993-05-21 00:00:00-04:00
2.5625,1993-05-24 00:00:00-04:00
2.59375,1993-05-25 00:00:00-04:00
2.5625,1993-05-26 00:00:00-04:00
2.625,1993-05-27 00:00:00-04:00
2.65625,1993-05-28 00:00:00-04:00
2.65625,1993-06-01 00:00:00-04:00
2.78125,1993-06-02 00:00:00-04:00
2.8125,1993-06-03 00:00:00-04:00
2.75,1993-06-04 00:00:00-04:00
2.8125,1993-06-07 00:00:00-04:00
2.8125,1993-06-08 00:00:00-04:00
2.8125,1993-06-09 00:00:00-04:00
2.84375,1993-06-10 00:00:00-04:00
2.875,1993-06-11 00:00:00-04:00
2.84375,1993-06-14 00:00:00-04:00
2.8125,1993-06-15 00:00:00-04:00
2.75,1993-06-16 00:00:00-04:00
2.75,1993-06-17 00:00:00-04:00
2.875,1993-06-18 00:00:00-04:00
2.890625,1993-06-21 00:00:00-04:00
2.9375,1993-06-22 00:00:00-04:00
2.9375,1993-06-23 00:00:00-04:00
2.9375,1993-06-24 00:00:00-04:00
2.9375,1993-06-25 00:00:00-04:00
2.96875,1993-06-28 00:00:00-04:00
3.03125,1993-06-29 00:00:00-04:00
3.0,1993-06-30 00:00:00-04:00
