SNPS,Date
7.875,1992-02-26 00:00:00-05:00
7.78125,1992-02-27 00:00:00-05:00
7.6875,1992-02-28 00:00:00-05:00
7.9375,1992-03-02 00:00:00-05:00
8.0,1992-03-03 00:00:00-05:00
7.75,1992-03-04 00:00:00-05:00
7.6875,1992-03-05 00:00:00-05:00
7.75,1992-03-06 00:00:00-05:00
8.0,1992-03-09 00:00:00-05:00
8.1875,1992-03-10 00:00:00-05:00
8.0625,1992-03-11 00:00:00-05:00
8.1875,1992-03-12 00:00:00-05:00
8.4375,1992-03-13 00:00:00-05:00
8.125,1992-03-16 00:00:00-05:00
8.1875,1992-03-17 00:00:00-05:00
8.3125,1992-03-18 00:00:00-05:00
8.5625,1992-03-19 00:00:00-05:00
8.75,1992-03-20 00:00:00-05:00
8.75,1992-03-23 00:00:00-05:00
8.625,1992-03-24 00:00:00-05:00
8.65625,1992-03-25 00:00:00-05:00
8.3125,1992-03-26 00:00:00-05:00
7.875,1992-03-27 00:00:00-05:00
8.0,1992-03-30 00:00:00-05:00
8.0,1992-03-31 00:00:00-05:00
7.59375,1992-04-01 00:00:00-05:00
7.5,1992-04-02 00:00:00-05:00
7.5,1992-04-03 00:00:00-05:00
7.5625,1992-04-06 00:00:00-04:00
7.5625,1992-04-07 00:00:00-04:00
7.375,1992-04-08 00:00:00-04:00
7.46875,1992-04-09 00:00:00-04:00
7.5,1992-04-10 00:00:00-04:00
7.6875,1992-04-13 00:00:00-04:00
7.9375,1992-04-14 00:00:00-04:00
7.8125,1992-04-15 00:00:00-04:00
7.625,1992-04-16 00:00:00-04:00
7.34375,1992-04-20 00:00:00-04:00
6.8125,1992-04-21 00:00:00-04:00
6.625,1992-04-22 00:00:00-04:00
6.6875,1992-04-23 00:00:00-04:00
6.625,1992-04-24 00:00:00-04:00
6.3125,1992-04-27 00:00:00-04:00
6.625,1992-04-28 00:00:00-04:00
6.5,1992-04-29 00:00:00-04:00
7.25,1992-04-30 00:00:00-04:00
7.6875,1992-05-01 00:00:00-04:00
8.125,1992-05-04 00:00:00-04:00
8.375,1992-05-05 00:00:00-04:00
8.25,1992-05-06 00:00:00-04:00
8.375,1992-05-07 00:00:00-04:00
8.34375,1992-05-08 00:00:00-04:00
7.875,1992-05-11 00:00:00-04:00
7.53125,1992-05-12 00:00:00-04:00
7.25,1992-05-13 00:00:00-04:00
7.125,1992-05-14 00:00:00-04:00
7.375,1992-05-15 00:00:00-04:00
7.1875,1992-05-18 00:00:00-04:00
7.1875,1992-05-19 00:00:00-04:00
6.84375,1992-05-20 00:00:00-04:00
