VRTX,Date
4.5,1991-07-24 00:00:00-04:00
4.5625,1991-07-25 00:00:00-04:00
4.5,1991-07-26 00:00:00-04:00
4.625,1991-07-29 00:00:00-04:00
4.5,1991-07-30 00:00:00-04:00
4.5,1991-07-31 00:00:00-04:00
4.5,1991-08-01 00:00:00-04:00
4.5625,1991-08-02 00:00:00-04:00
4.625,1991-08-05 00:00:00-04:00
4.625,1991-08-06 00:00:00-04:00
4.5,1991-08-07 00:00:00-04:00
4.5625,1991-08-08 00:00:00-04:00
4.5,1991-08-09 00:00:00-04:00
4.5,1991-08-12 00:00:00-04:00
4.5,1991-08-13 00:00:00-04:00
4.625,1991-08-14 00:00:00-04:00
4.5,1991-08-15 00:00:00-04:00
4.5,1991-08-16 00:00:00-04:00
4.375,1991-08-19 00:00:00-04:00
4.375,1991-08-20 00:00:00-04:00
4.4375,1991-08-21 00:00:00-04:00
4.375,1991-08-22 00:00:00-04:00
4.3125,1991-08-23 00:00:00-04:00
4.5625,1991-08-26 00:00:00-04:00
4.625,1991-08-27 00:00:00-04:00
4.6875,1991-08-28 00:00:00-04:00
4.9375,1991-08-29 00:00:00-04:00
5.1875,1991-08-30 00:00:00-04:00
5.125,1991-09-03 00:00:00-04:00
5.0,1991-09-04 00:00:00-04:00
5.0,1991-09-05 00:00:00-04:00
5.0,1991-09-06 00:00:00-04:00
4.875,1991-09-09 00:00:00-04:00
5.0625,1991-09-10 00:00:00-04:00
5.0,1991-09-11 00:00:00-04:00
5.1875,1991-09-12 00:00:00-04:00
5.5625,1991-09-13 00:00:00-04:00
5.5625,1991-09-16 00:00:00-04:00
5.5,1991-09-17 00:00:00-04:00
5.6875,1991-09-18 00:00:00-04:00
6.1875,1991-09-19 00:00:00-04:00
6.625,1991-09-20 00:00:00-04:00
6.5625,1991-09-23 00:00:00-04:00
6.5625,1991-09-24 00:00:00-04:00
7.0,1991-09-25 00:00:00-04:00
7.625,1991-09-26 00:00:00-04:00
7.375,1991-09-27 00:00:00-04:00
7.375,1991-09-30 00:00:00-04:00
7.8125,1991-10-01 00:00:00-04:00
7.8125,1991-10-02 00:00:00-04:00
7.375,1991-10-03 00:00:00-04:00
7.5,1991-10-04 00:00:00-04:00
6.625,1991-10-07 00:00:00-04:00
6.8125,1991-10-08 00:00:00-04:00
6.875,1991-10-09 00:00:00-04:00
6.875,1991-10-10 00:00:00-04:00
6.8125,1991-10-11 00:00:00-04:00
6.875,1991-10-14 00:00:00-04:00
7.25,1991-10-15 00:00:00-04:00
7.8125,1991-10-16 00:00:00-04:00
7.5,1991-10-17 00:00:00-04:00
7.625,1991-10-18 00:00:00-04:00
7.25,1991-10-21 00:00:00-04:00
6.75,1991-10-22 00:00:00-04:00
7.5,1991-10-23 00:00:00-04:00
7.5625,1991-10-24 00:00:00-04:00
7.25,1991-10-25 00:00:00-04:00
7.25,1991-10-28 00:00:00-05:00
7.25,1991-10-29 00:00:00-05:00
7.4375,1991-10-30 00:00:00-05:00
7.25,1991-10-31 00:00:00-05:00
7.5625,1991-11-01 00:00:00-05:00
7.6875,1991-11-04 00:00:00-05:00
7.6875,1991-11-05 00:00:00-05:00
7.75,1991-11-06 00:00:00-05:00
7.625,1991-11-07 00:00:00-05:00
7.75,1991-11-08 00:00:00-05:00
7.5625,1991-11-11 00:00:00-05:00
7.25,1991-11-12 00:00:00-05:00
7.1875,1991-11-13 00:00:00-05:00
7.1875,1991-11-14 00:00:00-05:00
6.4375,1991-11-15 00:00:00-05:00
6.0,1991-11-18 00:00:00-05:00
5.75,1991-11-19 00:00:00-05:00
5.75,1991-11-20 00:00:00-05:00
5.6875,1991-11-21 00:00:00-05:00
5.625,1991-11-22 00:00:00-05:00
5.5625,1991-11-25 00:00:00-05:00
5.75,1991-11-26 00:00:00-05:00
5.8125,1991-11-27 00:00:00-05:00
5.6875,1991-11-29 00:00:00-05:00
5.75,1991-12-02 00:00:00-05:00
5.75,1991-12-03 00:00:00-05:00
6.25,1991-12-04 00:00:00-05:00
6.625,1991-12-05 00:00:00-05:00
7.0,1991-12-06 00:00:00-05:00
6.875,1991-12-09 00:00:00-05:00
6.9375,1991-12-10 00:00:00-05:00
